"Team (Record)","Rating","Offense","Defense","Special Teams"
"52. Navy (3-1)",4,"31.0 (48)","27.1 (61)","0.1 (41)"
"53. Oregon State (2-3)",3.5,"39.7 (12)","36.0 (106)","-0.2 (93)"
"54. California (4-2)",3.4,"21.6 (101)","17.9 (24)","-0.2 (105)"
"55. Tennessee (1-4)",3.4,"27.6 (74)","24.3 (45)","0.1 (44)"
"56. Air Force (3-2)",3.3,"30.9 (49)","27.8 (68)","0.3 (23)"
"57. Pittsburgh (4-2)",3.2,"18.5 (112)","15.1 (15)","-0.2 (111)"
"58. NC State (3-2)",3.1,"26.7 (81)","23.7 (43)","0.1 (46)"
"59. Utah State (3-2)",3.1,"25.9 (83)","22.8 (40)","0.0 (56)"
"60. UL-Lafayette (4-1)",2.9,"35.1 (25)","32.3 (87)","0.0 (57)"
"61. N. Carolina (3-3)",2.8,"32.7 (44)","29.8 (75)","-0.2 (95)"
"62. Louisville (3-2)",2.8,"33.9 (35)","31.2 (86)","0.1 (50)"
"63. Kentucky (2-3)",1.3,"29.0 (61)","27.7 (64)","0.0 (55)"
"64. W. Virginia (3-2)",1.2,"28.7 (63)","27.2 (62)","-0.3 (114)"
"65. Syracuse (3-2)",0.9,"28.0 (71)","27.7 (65)","0.6 (3)"
"66. Tulsa (2-3)",0.9,"24.4 (92)","23.2 (42)","-0.4 (118)"
"67. Army (3-2)",0.9,"28.2 (69)","27.6 (63)","0.2 (30)"
"68. UCLA (1-5)",0.7,"33.8 (39)","33.0 (90)","-0.1 (83)"
"69. Stanford (3-3)",0.6,"27.4 (78)","26.7 (55)","-0.1 (79)"
"70. Northwestern (1-4)",0.4,"14.2 (125)","13.6 (8)","-0.2 (97)"
"71. Illinois (2-3)",-0.3,"30.0 (54)","30.9 (82)","0.6 (4)"
"72. Purdue (1-4)",-0.3,"35.8 (23)","36.2 (108)","0.1 (52)"
"73. Houston (2-3)",-0.4,"35.7 (24)","36.2 (107)","0.1 (43)"
"74. Boston College (3-3)",-0.9,"34.4 (31)","35.1 (102)","-0.1 (89)"
"75. Va. Tech (3-2)",-1.2,"28.2 (68)","29.3 (72)","-0.1 (76)"
"76. San Diego State (4-1)",-1.7,"14.2 (124)","16.3 (18)","0.4 (12)"
"77. Fresno State (2-2)",-1.8,"24.9 (88)","26.7 (56)","0.0 (62)"
"78. N. Texas (2-3)",-2.2,"28.0 (72)","30.7 (80)","0.4 (9)"
"79. Arkansas (2-3)",-2.3,"24.0 (93)","26.5 (54)","0.1 (45)"
"80. Hawaii (4-1)",-2.4,"33.6 (41)","35.6 (103)","-0.4 (121)"
"81. FAU (3-2)",-3.1,"28.4 (67)","31.2 (85)","-0.2 (108)"
"82. Kansas (2-4)",-3.3,"27.2 (79)","30.3 (77)","-0.2 (110)"
"83. BYU (2-3)",-4.1,"22.9 (95)","27.0 (59)","0.0 (59)"
"84. Arkansas State (3-3)",-4.9,"32.7 (45)","37.7 (115)","0.2 (34)"
"85. Wyoming (4-1)",-5.2,"21.7 (99)","26.9 (58)","0.0 (65)"
"86. USF (2-3)",-6.1,"21.1 (102)","26.8 (57)","-0.4 (119)"
"87. WMU (3-3)",-6.5,"29.5 (58)","35.7 (104)","-0.2 (104)"
"88. Marshall (2-3)",-6.8,"26.2 (82)","33.2 (91)","0.2 (28)"
"89. So. Miss (3-2)",-6.8,"27.4 (77)","33.9 (95)","-0.3 (116)"
"90. WKU (3-2)",-7,"17.1 (118)","24.0 (44)","-0.1 (78)"
"91. Liberty (4-2)",-7.3,"23.8 (94)","30.9 (81)","-0.1 (88)"
"92. Ga. Tech (1-4)",-7.3,"19.4 (105)","26.4 (53)","-0.3 (113)"
"93. UAB (4-1)",-7.9,"16.9 (119)","24.6 (47)","-0.2 (107)"
"94. FIU (2-3)",-7.9,"22.1 (97)","29.7 (74)","-0.3 (115)"
"95. Vanderbilt (1-4)",-8.1,"28.1 (70)","36.6 (109)","0.3 (19)"
"96. Troy (2-3)",-9.1,"30.5 (50)","39.7 (121)","0.0 (61)"
"97. Toledo (4-1)",-9.4,"29.5 (59)","39.2 (120)","0.3 (18)"
"98. Rutgers (1-4)",-9.5,"19.0 (106)","28.5 (70)","0.0 (60)"
"99. Coastal Carolina (3-2)",-9.8,"24.7 (89)","34.0 (96)","-0.5 (127)"
"100. La. Tech (4-1)",-9.8,"24.7 (90)","34.4 (97)","-0.1 (85)"
"101. Ohio (2-3)",-10.4,"27.1 (80)","37.7 (116)","0.3 (22)"
"102. Charlotte (2-3)",-11.3,"30.1 (53)","41.5 (125)","0.1 (53)"
"103. ECU (3-3)",-11.7,"18.6 (110)","30.2 (76)","-0.1 (92)"
"104. Texas St. (2-3)",-12,"18.7 (108)","30.4 (79)","-0.3 (117)"
"105. Colorado State (1-5)",-12.1,"25.0 (87)","37.1 (111)","0.0 (67)"
"106. UL-Monroe (2-3)",-12.4,"28.9 (62)","41.1 (123)","-0.2 (99)"
"107. Ball St. (2-3)",-12.9,"19.7 (103)","32.5 (88)","-0.1 (81)"
"108. Ga. Southern (2-3)",-13.3,"16.3 (121)","29.6 (73)","0.0 (71)"
"109. San Jose State (3-2)",-13.5,"21.6 (100)","35.0 (100)","-0.2 (96)"
"110. Buffalo (2-4)",-14.1,"17.5 (116)","31.1 (83)","-0.6 (129)"
"111. CMU (3-3)",-15,"18.4 (114)","33.3 (92)","-0.1 (91)"
"112. Nevada (3-2)",-15.4,"19.4 (104)","34.9 (99)","0.1 (48)"
"113. NIU (1-4)",-15.4,"18.4 (113)","33.8 (94)","0.0 (70)"
"114. MTSU (2-3)",-15.7,"25.6 (84)","41.2 (124)","0.0 (72)"
"115. Georgia State (3-2)",-16.3,"28.6 (64)","44.7 (129)","-0.2 (100)"
"116. EMU (3-2)",-17,"24.5 (91)","41.6 (126)","0.1 (42)"
"117. Miami (OH) (2-3)",-17.3,"18.4 (115)","35.8 (105)","0.1 (39)"
"118. ODU (1-4)",-18.9,"9.2 (129)","28.0 (69)","-0.1 (90)"
"119. New Mexico (2-3)",-19.1,"22.7 (96)","42.2 (127)","0.4 (14)"
"120. Kent State (2-3)",-19.7,"18.9 (107)","38.7 (117)","0.1 (54)"
"121. UNLV (1-4)",-20.3,"18.7 (109)","38.8 (118)","-0.2 (103)"
"122. NMSU (0-6)",-20.7,"16.7 (120)","37.5 (114)","0.1 (40)"
"123. S. Alabama (1-5)",-21.8,"12.1 (127)","33.6 (93)","-0.2 (101)"
"124. Rice (0-6)",-22.2,"14.8 (122)","36.8 (110)","-0.2 (102)"
"125. UTSA (2-3)",-22.4,"17.1 (117)","39.0 (119)","-0.5 (125)"
"126. UConn (1-4)",-24.1,"13.2 (126)","37.2 (112)","-0.1 (86)"
"127. Akron (0-5)",-27.3,"8.1 (130)","34.8 (98)","-0.6 (128)"
"128. UTEP (1-4)",-29,"14.8 (123)","43.8 (128)","-0.1 (73)"
"129. UMass (1-5)",-29.1,"18.6 (111)","47.6 (130)","0.0 (66)"
"130. Bowling Green (1-4)",-29.3,"11.8 (128)","40.5 (122)","-0.6 (130)"
