birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
1939-10-07,210-110-1,98,Bill Snyder,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bill_snyder_s.jpg,Kansas State,74-42,KSU
,14-23,1363,Chad Morris,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chad_morris_s.jpg,Arkansas,0-0,ARK
,31-33,159,Ed Orgeron,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/ed_orgeron_s.jpg,LSU,15-6,LSU
1979-11-29,46-29,323,Matt Campbell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_campbell_s.jpg,Iowa State,11-14,ISU
1961-03-09,122-81,61,Mike Leach,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_leach_s.jpg,Washington State,38-38,WSU
1963-11-25,46-7,57,Chip Kelly,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chip_kelly_s.jpg,UCLA,0-0,UCLA
1957-08-20,182-93,53,Paul Johnson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_johnson_s.jpg,Georgia Tech,75-54,GT
,21-17,867,Pat Narduzzi,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pat_narduzzi_s.jpg,Pittsburgh,21-17,PITT
1971-12-03,57-34,435,Dave Doeren,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dave_doeren_s.jpg,North Carolina State,34-30,NCST
,6-6,755,Matt Luke,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_luke_s.jpg,Ole Miss,6-6,MISS
1965-03-14,41-59,763,Mike MacIntyre,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_macIntyre_s.jpg,Colorado,25-38,COLO
,18-31,1432,Derek Mason,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/derek_mason_s.jpg,Vanderbilt,18-31,VAN
,27-10,587,Clay Helton,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/clay_helton_s.jpg,USC,27-10,USC
,18-8,885,Mike Norvell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_norvell_s.jpg,Memphis,18-8,MEM
,38-13,847,Joe Moorhead,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/joe_moorhead_s.jpg,Mississippi State,0-0,MSST
1962-09-10,77-53,35,Larry Fedora,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/larry_fedora_s.jpg,North Carolina,43-34,UNC
1954-09-16,103-96,24,David Cutcliffe,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_cutcliffe_s.jpg,Duke,59-67,DUKE
1959-06-01,44-44,173,Steve Addazio,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/steve_addazio_s.jpg,Boston College,31-33,BC
,11-15,448,DJ Durkin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dj_durkin_s.jpg,Maryland,10-15,MD
1970-09-24,27-47,22,Mario Cristobal,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mario_cristobal_s.jpg,Oregon,0-0,ORE
,45-32,207,Dino Babers,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dino_babers_s.jpg,Syracuse,8-16,SYR
,11-14,891,Barry Odom,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/barry_odom_s.jpg,Missouri,11-14,MIZZ
,6-18,201,Chris Ash,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_ash_s.jpg,Rutgers,6-18,RUTG
1965-05-08,84-48,74,Ken Niumatalolo,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/ken_niumatalolo_s.jpg,Navy,84-48,NAVY
1961-10-25,219-90-2,56,Brian Kelly,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brian_kelly_s.jpg,Notre Dame,48-33,ND
,10-15,479,Luke Fickell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/luke_fickell_s.jpg,Cincinnati,4-8,CIN
1964-08-03,86-44,107,Kevin Sumlin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kevin_sumlin_s.jpg,Arizona,0-0,ARIZ
,0-0,3178,Herm Edwards,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/herm_edwards_s.jpg,Arizona State,0-0,AZST
,0-0,1077,Jonathan Smith,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jonathan_smith_s.jpg,Oregon State,0-0,ORST
1967-08-16,111-109,21,Dave Clawson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dave_clawson_s.jpg,Wake Forest,21-29,WAKE
,5-8,1548,Tom Allen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tom_allen_s.jpg,Indiana,5-8,IU
,21-18,252,Mike Bobo,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_bobo_s.jpg,Colorado State,21-18,CSU
,7-6,197,Major Applewhite,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/major_applewhite_s.jpg,Houston,7-6,HOU
,3-33,233,David Beaty,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_beaty_s.jpg,Kansas,3-33,KU
,0-0,596,Josh Heupel,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/josh_heupel_s.jpg,UCF,0-0,UCF
,49-17,577,Bryan Harsin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bryan_harsin_s.jpg,Boise State,42-12,BSU
,162-84,2420,Willie Fritz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/willie_fritz_s.jpg,Tulane,9-15,TULN
1961-11-02,92-61,109,Jeff Tedford,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_tedford_s.jpg,Fresno State,10-4,FRES
,18-20,842,Philip Montgomery,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/phillip_montgomery_s.jpg,Tulsa,18-20,TLSA
,5-7,1201,Justin Wilcox,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/justin_wilcox_s.jpg,California,5-7,CAL
,14-13,743,Seth Littrell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/seth_littrell_s.jpg,North Texas,14-13,UNT
,126-61,2418,Craig Bohl,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/craig_bohl_s.jpg,Wyoming,22-29,WYO
,21-7,326,Jason Candle,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jason_candle_s.jpg,Toledo,21-7,TOL
,6-18,843,Scottie Montgomery,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scottie_montgomery_s.jpg,East Carolina,6-18,ECU
,12-12,1218,Frank Wilson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/frank_wilson_s.jpg,UTSA,12-12,UTSA
1958-08-27,99-113,29,Randy Edsall,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/randy_edsall_s.jpg,Connecticut,3-9,UCON
1975-05-09,46-24,58,Lane Kiffin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lane_kiffin_s.jpg,Florida Atlantic,11-3,FAU
1960-08-02,63-39,1109,Charlie Strong,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/charlie_strong_s.jpg,South Florida,10-2,USF
,66-78,39,Turner Gill,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/turner_gill_s.jpg,Liberty,41-29,LIB
,71-48,26,Butch Davis,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/butch_davis_s.jpg,Florida International,8-5,FIU
,34-32,1192,Matt Wells,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_wells_s.jpg,Utah State,34-32,USU
,17-10,2195,Bill Clark,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bill_clark_s.jpg,UAB,6-6,UAB
1950-01-27,129-98,151,Rocky Long,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rocky_long_s.jpg,San Diego State,64-29,SDSU
,0-0,866,Billy Napier,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/billy_napier_s.jpg,Louisiana-Lafayette,0-0,ULL
,31-20,188,Blake Anderson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/blake_anderson_s.jpg,Arkansas State,31-20,ARST
1954-09-30,65-70,1886,Bob Davie,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bob_davie_s.jpg,New Mexico,30-45,UNM
,25-13,288,Neal Brown,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/neal_brown_s.jpg,Troy,25-13,TROY
,6-7,1383,Mike Sanford Jr.,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_sanford_s.jpg,Western Kentucky,6-7,WKY
1957-12-23,79-72,104,Rick Stockstill,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rick_stockstill_s.jpg,Middle Tennessee,79-72,MTSU
,44-29,2330,Tim Lester,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tim_lester_s.jpg,Western Michigan,6-6,WMU
1957-04-21,61-42,618,Doc Holliday,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/doc_holliday_s.jpg,Marshall,61-42,MRSH
,41-22,1400,Scott Satterfield,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scott_satterfield_s.jpg,Appalachian State,41-22,APP
1964-03-12,126-99,50,Skip Holtz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/skip_holtz_s.jpg,Louisiana Tech,38-28,LT
,30-39,429,Dana Dimel,,UTEP,0-0,UTEP
,29-33,1225,Everett Withers,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/everett_withers_s.jpg,Texas State,4-20,TXST
,21-18,2573,John Bonamego,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/john_bonamego_s.jpg,Central Michigan,21-18,CMU
,72-37,2263,Bobby Wilder,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bobby_wilder_s.jpg,Old Dominion,72-37,ODU
,8-10,2485,Chad Lunsford,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chad_lunsford_s.jpg,Georgia Southern,7-5,GASO
,44-24,1498,Rod Carey,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rod_carey_s.jpg,Northern Illinois,44-24,NIU
,17-41,716,Brad Lambert,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brad_lambert_s.jpg,Charlotte,17-41,CHA
,60-23,3179,Steve Campbell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/steve_campbell_s.jpg,South Alabama,0-0,USA
,12-24,2576,Tony Sanchez,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tony_sanchez_s.jpg,UNLV,12-24,UNLV
,2-11,270,Brent Brennan,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brent_brennan_s.jpg,San Jose State,2-11,SJSU
1944-09-08,155-90,100,Frank Solich,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/frank_solich_s.jpg,Ohio,97-71,OHIO
,4-5,1341,Shawn Elliott,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/shawn_elliott_s.jpg,Georgia State,0-0,GAST
,90-40,1424,Chuck Martin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chuck_martin_s.jpg,Miami (OH),16-33,MUO
,47-28,623,Jay Hopson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jay_hopson_s.jpg,Southern Miss,15-11,USM
,132-96,1196,Mark Whipple,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mark_whipple_s.jpg,Massachusetts,12-36,UMAS
,3-9,884,Jay Norvell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jay_norvell_s.jpg,Nevada,3-9,NEV
,10-16,992,Nick Rolovich,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/nick_rolovich_s.jpg,Hawaii,10-16,HAW
,154-80,2419,Chris Creighton,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_creighton_s.jpg,Eastern Michigan,15-34,EMU
,122-29,2574,Lance Leipold,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lance_leipold_s.jpg,Buffalo,13-23,BUFF
,0-0,2454,Sean Lewis,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/sean_lewis_s.jpg,Kent State,0-0,KENT
,6-18,2326,Mike Jinks,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_jinks_s.jpg,Bowling Green,6-18,BGSU
,6-18,2128,Mike Neu,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_neu_s.jpg,Ball State,6-18,BALL
,46-97,67,Doug Martin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/doug_martin_s.jpg,New Mexico State,17-44,NMSU
1956-02-25,171-106-2,1885,Terry Bowden,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/terry_bowden_s.jpg,Akron,31-44,AKR
,54-24,3009,Joe Moglia,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/joe_moglia_s.jpg,Coastal Carolina,54-24,CCAR
,86-49,2710,Matt Viator,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_viator_s.jpg,Louisiana-Monroe,8-16,ULM
,29-34,977,Matt Rhule,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_rhule_s.jpg,Baylor,1-11,BAY
1966-09-26,82-60,16,Troy Calhoun,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/troy_calhoun_s.jpg,Air Force,82-60,AFA
,13-13,1064,Kalani Sitake,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kalani_sitake_s.jpg,Brigham Young,13-13,BYU
,36-16,840,Jeff Monken,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_monken_s.jpg,Army,24-26,ARMY
,0-0,1491,Mike Bloomgren,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_bloomgren_s.jpg,Rice,0-0,RICE
,7-6,368,Geoff Collins,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/geoff_collins_s.jpg,Temple,7-6,TEM
1969-11-09,41-45,449,Sonny Dykes,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/sonny_dykes_s.jpg,Southern Methodist,0-0,SMU
