School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Pass Comp,Pass Att,Pass Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Total Plays,Total Yards,Total Yards Avg,Total TD,Total Points,Point Diff
UNLV,92,2012-08-30,1,,Minnesota,33,L,16,35,45.7,116,1,37,159,4.3,2,72,275,3.8,3,27,-3
Utah,104,2012-08-30,1,,Northern Colorado,138,W,21,29,72.4,221,2,47,193,4.1,3,76,414,5.4,6,41,41
Utah St.,93,2012-08-30,1,,Southern Utah,141,W,23,26,88.5,304,2,52,265,5.1,3,78,569,7.3,5,34,31
Vanderbilt,120,2012-08-30,1,,South Carolina,117,L,13,23,56.5,214,1,36,62,1.7,0,59,276,4.7,1,13,-4
Washington St.,106,2012-08-30,1,@,BYU,66,L,30,45,66.7,229,0,16,-5,-0.3,0,61,224,3.7,0,6,-24
Boise St.,84,2012-08-31,1,@,Michigan St.,32,L,15,32,46.9,169,0,24,37,1.5,0,56,206,3.7,1,13,-4
Florida Atlantic,52,2012-08-31,1,,Wagner,200,W,14,23,60.9,163,1,41,164,4.0,0,64,327,5.1,1,7,4
Michigan St.,32,2012-08-31,1,,Boise St.,84,W,22,38,57.9,248,0,52,213,4.1,2,90,461,5.1,2,17,4
NC State,20,2012-08-31,1,N,Tennessee,118,L,27,48,56.3,288,1,32,119,3.7,2,80,407,5.1,3,21,-14
San Jose St.,91,2012-08-31,1,@,Stanford,101,L,24,35,68.6,217,1,27,70,2.6,1,62,287,4.6,2,17,-3
Stanford,101,2012-08-31,1,,San Jose St.,91,W,16,26,61.5,125,1,41,155,3.8,1,67,280,4.2,2,20,3
Temple,10,2012-08-31,1,,Villanova,162,W,5,11,45.5,61,1,47,301,6.4,3,58,362,6.2,5,41,31
Tennessee,118,2012-08-31,1,N,NC State,20,W,27,41,65.9,333,2,38,191,5.0,2,79,524,6.6,4,35,14
Air Force,83,2012-09-01,1,,Idaho State,134,W,8,11,72.7,142,0,58,484,8.3,7,69,626,9.1,7,49,28
Alabama,107,2012-09-01,1,N,Michigan,31,W,11,21,52.4,199,2,42,232,5.5,2,63,431,6.8,5,41,27
Arizona,95,2012-09-01,1,,Toledo,81,W,30,47,63.8,387,2,41,237,5.8,1,88,624,7.1,3,24,7
Arkansas,108,2012-09-01,1,,Jacksonville State,204,W,23,34,67.6,400,3,35,164,4.7,4,69,564,8.2,7,49,25
Arkansas St.,122,2012-09-01,1,@,Oregon,99,L,29,44,65.9,304,3,37,226,6.1,1,81,530,6.5,4,34,-23
Auburn,109,2012-09-01,1,N,Clemson,14,L,11,27,40.7,194,1,37,180,4.9,0,64,374,5.8,1,19,-7
Boston College,13,2012-09-01,1,,Miami (FL),19,L,32,51,62.7,441,2,34,96,2.8,1,85,537,6.3,3,32,-9
Bowling Green,73,2012-09-01,1,@,Florida,110,L,25,52,48.1,226,0,27,101,3.7,2,79,327,4.1,2,14,-13
Buffalo,74,2012-09-01,1,@,Georgia,111,L,14,25,56.0,148,1,45,199,4.4,2,70,347,5.0,3,23,-22
California,97,2012-09-01,1,,Nevada,88,L,19,39,48.7,251,2,28,113,4.0,1,67,364,5.4,3,24,-7
Clemson,14,2012-09-01,1,N,Auburn,109,W,24,35,68.6,208,1,52,320,6.2,1,87,528,6.1,2,26,7
Colorado,98,2012-09-01,1,N,Colorado St.,85,L,22,41,53.7,187,2,29,58,2.0,0,70,245,3.5,2,17,-5
Colorado St.,85,2012-09-01,1,N,Colorado,98,W,14,21,66.7,173,2,44,125,2.8,0,65,298,4.6,2,22,5
Duke,15,2012-09-01,1,,Florida Intl,53,W,23,34,67.6,301,3,30,119,4.0,2,64,420,6.6,6,46,20
East Carolina,4,2012-09-01,1,,Appalachian St.,121,W,28,43,65.1,242,2,35,148,4.2,1,78,390,5.0,5,35,22
Florida,110,2012-09-01,1,,Bowling Green,73,W,13,21,61.9,145,1,42,220,5.2,2,63,365,5.8,3,27,13
Florida Intl,53,2012-09-01,1,@,Duke,15,L,27,46,58.7,348,2,45,165,3.7,2,91,513,5.6,4,26,-20
Florida St.,16,2012-09-01,1,,Murray State,205,W,25,35,71.4,321,1,42,285,6.8,7,77,606,7.9,9,69,66
Fresno St.,86,2012-09-01,1,,Weber State,143,W,20,26,76.9,298,2,39,217,5.6,3,65,515,7.9,5,37,27
Georgia,111,2012-09-01,1,,Buffalo,74,W,15,27,55.6,258,3,39,227,5.8,2,66,485,7.3,6,45,22
Hawaii,87,2012-09-01,1,@,USC,103,L,24,39,61.5,208,1,32,56,1.8,0,71,264,3.7,1,10,-39
Houston,5,2012-09-01,1,,Texas St.,128,L,17,44,38.6,211,1,23,115,5.0,0,67,326,4.9,1,13,-17
Illinois,27,2012-09-01,1,,Western Michigan,82,W,13,21,61.9,133,1,41,115,2.8,1,62,248,4.0,3,24,17
Indiana,28,2012-09-01,1,,Indiana State,183,W,26,36,72.2,280,1,47,171,3.6,2,83,451,5.4,3,24,7
Iowa,29,2012-09-01,1,@,Northern Illinois,79,W,21,33,63.6,129,0,49,139,2.8,1,82,268,3.3,1,18,1
Iowa St.,42,2012-09-01,1,,Tulsa,12,W,32,45,71.1,281,2,45,160,3.6,3,90,441,4.9,5,38,15
Kansas,43,2012-09-01,1,,South Dakota State,188,W,17,36,47.2,169,1,48,263,5.5,3,84,432,5.1,4,31,14
Kansas St.,44,2012-09-01,1,,Missouri State,184,W,19,28,67.9,169,2,40,324,8.1,3,68,493,7.3,6,51,42
Louisiana,126,2012-09-01,1,,Lamar,240,W,13,27,48.1,203,2,34,143,4.2,2,61,346,5.7,4,40,40
LSU,113,2012-09-01,1,,North Texas,57,W,19,26,73.1,192,1,46,316,6.9,3,72,508,7.1,5,41,27
Marshall,55,2012-09-01,1,@,West Virginia,50,L,38,56,67.9,413,2,45,132,2.9,2,101,545,5.4,4,34,-35
Maryland,30,2012-09-01,1,,William & Mary,163,W,16,24,66.7,145,0,33,91,2.8,1,57,236,4.1,1,7,1
Memphis,6,2012-09-01,1,,Tennessee-Martin,209,L,12,28,42.9,157,1,44,202,4.6,1,72,359,5.0,2,17,-3
Miami (FL),19,2012-09-01,1,@,Boston College,13,W,28,45,62.2,207,1,34,208,6.1,3,79,415,5.3,5,41,9
Miami (OH),78,2012-09-01,1,@,Ohio St.,36,L,32,54,59.3,313,1,20,-1,-0.1,0,74,312,4.2,1,10,-46
Michigan,31,2012-09-01,1,N,Alabama,107,L,11,27,40.7,200,1,29,69,2.4,1,56,269,4.8,2,14,-27
Mississippi St.,114,2012-09-01,1,,Jackson State,252,W,16,28,57.1,193,2,38,202,5.3,4,66,395,6.0,8,56,47
Missouri,115,2012-09-01,1,,Southeastern Louisiana,245,W,18,26,69.2,191,2,36,261,7.3,3,62,452,7.3,9,62,52
Navy,7,2012-09-01,1,N,Notre Dame,70,L,14,20,70.0,192,1,40,149,3.7,0,60,341,5.7,1,10,-40
Nebraska,34,2012-09-01,1,,Southern Miss,60,W,26,34,76.5,354,5,45,278,6.2,2,79,632,8.0,7,49,29
Nevada,88,2012-09-01,1,@,California,97,W,25,32,78.1,230,0,57,220,3.9,4,89,450,5.1,4,31,7
New Mexico,89,2012-09-01,1,,Southern,255,W,7,10,70.0,70,1,51,347,6.8,5,61,417,6.8,9,66,45
North Carolina,21,2012-09-01,1,,Elon,154,W,20,28,71.4,281,3,46,243,5.3,4,74,524,7.1,8,62,62
North Texas,57,2012-09-01,1,@,LSU,113,L,8,21,38.1,143,2,35,76,2.2,0,56,219,3.9,2,14,-27
Northern Illinois,79,2012-09-01,1,,Iowa,29,L,6,16,37.5,54,0,36,147,4.1,2,52,201,3.9,2,17,-1
Northwestern,35,2012-09-01,1,@,Syracuse,23,W,22,32,68.8,213,3,40,124,3.1,1,72,337,4.7,6,42,1
Notre Dame,70,2012-09-01,1,N,Navy,7,W,16,23,69.6,197,1,46,293,6.4,5,69,490,7.1,7,50,40
Ohio,80,2012-09-01,1,@,Penn State,37,W,31,41,75.6,324,2,47,175,3.7,1,88,499,5.7,3,24,10
Ohio St.,36,2012-09-01,1,,Miami (OH),78,W,19,33,57.6,244,2,53,294,5.5,5,86,538,6.3,8,56,46
Oklahoma,45,2012-09-01,1,@,UTEP,62,W,21,36,58.3,222,2,37,205,5.5,1,73,427,5.8,3,24,17
Oklahoma St.,46,2012-09-01,1,,Savannah State,383,W,26,37,70.3,287,3,42,395,9.4,9,79,682,8.6,12,84,84
Ole Miss,116,2012-09-01,1,,Central Arkansas,237,W,25,31,80.6,330,3,47,235,5.0,4,78,565,7.2,7,49,22
Oregon,99,2012-09-01,1,,Arkansas St.,122,W,28,39,71.8,308,4,57,297,5.2,4,96,605,6.3,8,57,23
Penn State,37,2012-09-01,1,,Ohio,80,L,27,48,56.3,260,2,22,87,4.0,0,70,347,5.0,2,14,-10
Pittsburgh,22,2012-09-01,1,,Youngstown State,191,L,19,30,63.3,239,1,28,130,4.6,1,58,369,6.4,2,17,-14
Purdue,38,2012-09-01,1,,Eastern Kentucky,203,W,37,47,78.7,372,4,40,175,4.4,2,87,547,6.3,7,48,42
Rutgers,39,2012-09-01,1,@,Tulane,11,W,11,20,55.0,158,1,35,151,4.3,1,55,309,5.6,3,24,12
San Diego St.,90,2012-09-01,1,@,Washington,105,L,10,19,52.6,128,1,40,199,5.0,1,59,327,5.5,2,12,-9
South Alabama,127,2012-09-01,1,,UTSA,63,L,15,26,57.7,182,2,37,126,3.4,2,63,308,4.9,4,31,-2
South Florida,9,2012-09-01,1,,Chattanooga,227,W,20,33,60.6,244,3,31,85,2.7,2,64,329,5.1,5,34,21
Southern Miss,60,2012-09-01,1,@,Nebraska,34,L,7,19,36.8,75,1,47,185,3.9,0,66,260,3.9,2,20,-29
Syracuse,23,2012-09-01,1,,Northwestern,35,L,45,66,68.2,482,4,29,114,3.9,1,95,596,6.3,5,41,-1
Texas,48,2012-09-01,1,,Wyoming,94,W,20,28,71.4,156,1,47,280,6.0,4,75,436,5.8,5,37,20
Texas St.,128,2012-09-01,1,@,Houston,5,W,19,25,76.0,196,1,52,248,4.8,2,77,444,5.8,3,30,17
Texas Tech,49,2012-09-01,1,,Northwestern State,243,W,33,47,70.2,321,3,46,179,3.9,2,93,500,5.4,5,44,38
Toledo,81,2012-09-01,1,@,Arizona,95,L,21,47,44.7,197,1,47,161,3.4,1,94,358,3.8,2,17,-7
Troy,129,2012-09-01,1,@,UAB,61,W,13,22,59.1,191,2,45,262,5.8,3,67,453,6.8,5,39,10
Tulane,11,2012-09-01,1,,Rutgers,39,L,34,48,70.8,254,1,16,8,0.5,0,64,262,4.1,1,12,-12
Tulsa,12,2012-09-01,1,@,Iowa St.,42,L,23,49,46.9,198,2,34,160,4.7,1,83,358,4.3,3,23,-15
UAB,61,2012-09-01,1,,Troy,129,L,19,34,55.9,325,2,44,134,3.0,2,78,459,5.9,4,29,-10
USC,103,2012-09-01,1,,Hawaii,87,W,26,41,63.4,394,4,23,81,3.5,1,64,475,7.4,7,49,39
UTEP,62,2012-09-01,1,,Oklahoma,45,L,7,26,26.9,48,0,36,207,5.8,0,62,255,4.1,1,7,-17
UTSA,63,2012-09-01,1,@,South Alabama,127,W,18,30,60.0,215,3,31,183,5.9,0,61,398,6.5,3,33,2
Virginia,24,2012-09-01,1,,Richmond,159,W,30,43,69.8,361,1,42,184,4.4,4,85,545,6.4,5,43,24
Wake Forest,26,2012-09-01,1,,Liberty,67,W,16,28,57.1,195,1,38,98,2.6,1,66,293,4.4,3,20,3
Washington,105,2012-09-01,1,,San Diego St.,90,W,25,35,71.4,222,1,31,106,3.4,1,66,328,5.0,3,21,9
West Virginia,50,2012-09-01,1,,Marshall,55,W,34,39,87.2,324,5,35,331,9.5,4,74,655,8.9,10,69,35
Western Kentucky,64,2012-09-01,1,,Austin Peay,201,W,20,27,74.1,352,4,39,244,6.3,2,66,596,9.0,7,49,39
Western Michigan,82,2012-09-01,1,@,Illinois,27,L,28,47,59.6,265,1,19,-6,-0.3,0,66,259,3.9,1,7,-17
Wisconsin,40,2012-09-01,1,,Northern Iowa,186,W,19,23,82.6,219,2,47,168,3.6,1,70,387,5.5,3,26,5
Wyoming,94,2012-09-01,1,@,Texas,48,L,16,28,57.1,276,2,30,69,2.3,0,58,345,5.9,2,17,-20
Baylor,41,2012-09-02,1,,SMU,8,W,24,35,68.6,393,5,32,220,6.9,2,67,613,9.1,8,59,35
Kentucky,112,2012-09-02,1,@,Louisville,18,L,35,51,68.6,280,2,19,93,4.9,0,70,373,5.3,2,14,-18
Louisville,18,2012-09-02,1,,Kentucky,112,W,22,26,84.6,247,0,46,219,4.8,4,72,466,6.5,4,32,18
SMU,8,2012-09-02,1,@,Baylor,41,L,37,63,58.7,362,3,29,145,5.0,0,92,507,5.5,3,24,-35
Georgia Tech,17,2012-09-03,1,@,Virginia Tech,25,L,10,16,62.5,96,1,55,192,3.5,1,71,288,4.1,2,17,-3
Virginia Tech,25,2012-09-03,1,,Georgia Tech,17,W,21,38,55.3,230,2,35,96,2.7,0,73,326,4.5,2,20,3
Cincinnati,2,2012-09-06,1,,Pittsburgh,22,W,14,28,50.0,205,2,31,259,8.4,2,59,464,7.9,4,34,24
Pittsburgh,22,2012-09-06,2,@,Cincinnati,2,L,24,37,64.9,278,1,42,137,3.3,0,79,415,5.3,1,10,-24
Utah,104,2012-09-07,2,@,Utah St.,93,L,19,39,48.7,229,2,42,96,2.3,0,81,325,4.0,2,20,-7
Utah St.,93,2012-09-07,2,,Utah,104,W,22,32,68.8,216,2,35,164,4.7,1,67,380,5.7,4,27,7
Air Force,83,2012-09-08,2,@,Michigan,31,L,10,19,52.6,127,0,71,290,4.1,3,90,417,4.6,3,25,-6
Akron,71,2012-09-08,2,@,Florida Intl,53,L,27,54,50.0,313,5,34,98,2.9,0,88,411,4.7,5,38,-3
Alabama,107,2012-09-08,2,,Western Kentucky,64,W,15,20,75.0,225,4,31,103,3.3,1,51,328,6.4,5,35,35
Arizona,95,2012-09-08,2,,Oklahoma St.,46,W,28,41,68.3,320,2,49,181,3.7,4,90,501,5.6,7,59,21
Arizona St.,96,2012-09-08,2,,Illinois,27,W,23,29,79.3,318,3,38,192,5.1,3,67,510,7.6,6,45,31
Arkansas,108,2012-09-08,2,,UL Monroe,130,L,17,40,42.5,281,3,26,96,3.7,1,66,377,5.7,4,31,-3
Arkansas St.,122,2012-09-08,2,,Memphis,6,W,24,44,54.5,321,1,54,298,5.5,3,98,619,6.3,4,33,5
Army,65,2012-09-08,1,@,San Diego St.,90,L,3,9,33.3,50,0,62,282,4.5,1,71,332,4.7,1,7,-35
Auburn,109,2012-09-08,2,@,Mississippi St.,114,L,13,22,59.1,125,0,39,91,2.3,0,61,216,3.5,1,10,-18
Ball St.,72,2012-09-08,2,@,Clemson,14,L,16,29,55.2,128,0,40,252,6.3,3,69,380,5.5,3,27,-25
Boston College,13,2012-09-08,2,,Maine,156,W,16,33,48.5,224,3,41,166,4.0,0,74,390,5.3,4,34,31
Bowling Green,73,2012-09-08,2,,Idaho,133,W,24,35,68.6,283,1,27,90,3.3,2,62,373,6.0,3,21,8
BYU,66,2012-09-08,2,,Weber State,143,W,26,42,61.9,307,2,37,225,6.1,4,79,532,6.7,6,45,32
Buffalo,74,2012-09-08,2,,Morgan State,177,W,17,24,70.8,265,5,32,306,9.6,3,56,571,10.2,8,56,22
California,97,2012-09-08,2,,Southern Utah,141,W,17,23,73.9,229,1,38,289,7.6,3,61,518,8.5,6,50,19
Central Michigan,75,2012-09-08,2,,Michigan St.,32,L,17,38,44.7,173,0,22,72,3.3,0,60,245,4.1,1,7,-34
Clemson,14,2012-09-08,2,,Ball St.,72,W,33,44,75.0,372,4,40,154,3.9,3,84,526,6.3,7,52,25
Colorado,98,2012-09-08,2,,Sacramento State,140,L,13,25,52.0,188,1,38,153,4.0,3,63,341,5.4,4,28,-2
Colorado St.,85,2012-09-08,2,,North Dakota State,185,L,13,24,54.2,171,1,24,72,3.0,0,48,243,5.1,1,7,-15
Connecticut,3,2012-09-08,2,,NC State,20,L,15,27,55.6,204,0,32,35,1.1,1,59,239,4.1,1,7,-3
Duke,15,2012-09-08,2,@,Stanford,101,L,42,63,66.7,358,0,23,27,1.2,1,86,385,4.5,1,13,-37
East Carolina,4,2012-09-08,2,@,South Carolina,117,L,30,47,63.8,333,1,24,70,2.9,0,71,403,5.7,1,10,-38
Eastern Michigan,76,2012-09-08,2,,Illinois State,182,L,11,25,44.0,145,1,32,103,3.2,1,57,248,4.4,2,14,-17
Florida,110,2012-09-08,2,@,Texas A&M,119,W,14,17,82.4,165,0,48,142,3.0,2,65,307,4.7,2,20,3
Florida Atlantic,52,2012-09-08,2,@,Middle Tennessee,56,L,25,32,78.1,260,2,28,96,3.4,0,60,356,5.9,2,17,-14
Florida Intl,53,2012-09-08,2,,Akron,71,W,19,30,63.3,209,1,50,232,4.6,3,80,441,5.5,5,41,3
Florida St.,16,2012-09-08,2,,Savannah State,383,W,17,21,81.0,246,4,23,167,7.3,4,44,413,9.4,8,55,55
Fresno St.,86,2012-09-08,2,@,Oregon,99,L,29,47,61.7,234,1,34,131,3.9,1,81,365,4.5,2,25,-17
Georgia,111,2012-09-08,2,@,Missouri,115,W,22,35,62.9,242,3,35,113,3.2,2,70,355,5.1,5,41,21
Georgia Tech,17,2012-09-08,2,,Presbyterian,151,W,8,14,57.1,243,2,58,469,8.1,6,72,712,9.9,8,59,56
Houston,5,2012-09-08,2,,Louisiana Tech,54,L,53,77,68.8,580,4,38,113,3.0,2,115,693,6.0,6,49,-7
Idaho,133,2012-09-08,2,@,Bowling Green,73,L,30,38,78.9,352,1,20,6,0.3,0,58,358,6.2,1,13,-8
Illinois,27,2012-09-08,2,@,Arizona St.,96,L,14,24,58.3,101,1,50,231,4.6,1,74,332,4.5,2,14,-31
Indiana,28,2012-09-08,2,@,Massachusetts,68,W,26,40,65.0,275,2,53,331,6.2,4,93,606,6.5,6,45,39
Iowa,29,2012-09-08,2,,Iowa St.,42,L,20,42,47.6,236,0,28,68,2.4,0,70,304,4.3,0,6,-3
Iowa St.,42,2012-09-08,2,@,Iowa,29,W,24,36,66.7,241,1,41,101,2.5,0,77,342,4.4,1,9,3
Kansas,43,2012-09-08,2,,Rice,59,L,16,28,57.1,144,1,36,195,5.4,2,64,339,5.3,3,24,-1
Kansas St.,44,2012-09-08,2,,Miami (FL),19,W,9,11,81.8,210,1,60,288,4.8,6,71,498,7.0,7,52,39
Kent State,77,2012-09-08,2,@,Kentucky,112,L,28,43,65.1,227,0,37,182,4.9,2,80,409,5.1,2,14,-33
Kentucky,112,2012-09-08,2,,Kent State,77,W,30,39,76.9,354,4,30,185,6.2,2,69,539,7.8,6,47,33
Louisiana,126,2012-09-08,2,@,Troy,129,W,13,22,59.1,171,1,40,218,5.5,2,62,389,6.3,4,37,13
Louisiana Tech,54,2012-09-08,1,@,Houston,5,W,34,52,65.4,353,3,42,245,5.8,5,94,598,6.4,8,56,7
UL Monroe,130,2012-09-08,1,@,Arkansas,108,W,42,68,61.8,412,3,35,138,3.9,2,103,550,5.3,5,34,3
Louisville,18,2012-09-08,2,,Missouri State,184,W,30,40,75.0,344,2,37,131,3.5,2,77,475,6.2,4,35,28
LSU,113,2012-09-08,2,,Washington,105,W,12,19,63.2,195,1,52,242,4.7,4,71,437,6.2,5,41,38
Marshall,55,2012-09-08,2,,Western Carolina,234,W,36,46,78.3,430,4,48,185,3.9,2,94,615,6.5,7,52,28
Maryland,30,2012-09-08,2,@,Temple,10,W,11,21,52.4,190,2,48,144,3.0,2,69,334,4.8,4,36,9
Massachusetts,68,2012-09-08,2,,Indiana,28,L,21,34,61.8,186,0,36,78,2.2,1,70,264,3.8,1,6,-39
Memphis,6,2012-09-08,2,@,Arkansas St.,122,L,14,24,58.3,154,2,32,139,4.3,0,56,293,5.2,4,28,-5
Miami (FL),19,2012-09-08,2,@,Kansas St.,44,L,21,28,75.0,222,1,29,40,1.4,0,57,262,4.6,1,13,-39
Miami (OH),78,2012-09-08,2,,Southern Illinois,189,W,28,36,77.8,226,1,33,110,3.3,2,69,336,4.9,4,30,16
Michigan,31,2012-09-08,2,,Air Force,83,W,14,25,56.0,208,2,31,214,6.9,2,56,422,7.5,4,31,6
Michigan St.,32,2012-09-08,2,@,Central Michigan,75,W,25,37,67.6,322,2,41,173,4.2,3,78,495,6.3,5,41,34
Middle Tennessee,56,2012-09-08,2,,Florida Atlantic,52,W,10,14,71.4,178,2,55,302,5.5,2,69,480,7.0,4,31,14
Minnesota,33,2012-09-08,2,,New Hampshire,157,W,11,14,78.6,172,3,52,240,4.6,3,66,412,6.2,6,44,37
Mississippi St.,114,2012-09-08,2,,Auburn,109,W,20,29,69.0,222,3,36,166,4.6,1,65,388,6.0,4,28,18
Missouri,115,2012-09-08,2,,Georgia,111,L,25,41,61.0,269,2,39,102,2.6,0,80,371,4.6,2,20,-21
Nebraska,34,2012-09-08,2,@,UCLA,102,L,17,31,54.8,179,0,36,260,7.2,3,67,439,6.6,3,30,-6
Nevada,88,2012-09-08,2,,South Florida,9,L,27,38,71.1,271,1,53,278,5.2,3,91,549,6.0,4,31,-1
New Mexico,89,2012-09-08,2,@,Texas,48,L,6,16,37.5,35,0,47,206,4.4,0,63,241,3.8,0,0,-45
New Mexico State,69,2012-09-08,2,@,Ohio,80,L,13,27,48.1,135,1,30,71,2.4,1,57,206,3.6,3,24,-27
North Carolina,21,2012-09-08,2,@,Wake Forest,26,L,23,40,57.5,271,1,42,157,3.7,2,82,428,5.2,3,27,-1
NC State,20,2012-09-08,2,@,Connecticut,3,W,15,30,50.0,204,1,41,54,1.3,0,71,258,3.6,1,10,3
North Texas,57,2012-09-08,2,,Texas Southern,256,W,11,24,45.8,145,0,57,352,6.2,4,81,497,6.1,4,34,27
Northern Illinois,79,2012-09-08,2,,Tennessee-Martin,209,W,19,26,73.1,214,1,49,213,4.3,4,75,427,5.7,5,35,28
Northwestern,35,2012-09-08,2,,Vanderbilt,120,W,17,31,54.8,133,0,46,191,4.2,2,77,324,4.2,2,23,10
Notre Dame,70,2012-09-08,2,,Purdue,38,W,24,39,61.5,324,1,36,52,1.4,1,75,376,5.0,2,20,3
Ohio,80,2012-09-08,2,,New Mexico State,69,W,18,29,62.1,291,2,51,293,5.7,3,80,584,7.3,6,51,27
Ohio St.,36,2012-09-08,2,,Central Florida,1,W,18,24,75.0,155,1,51,256,5.0,3,75,411,5.5,4,31,15
Oklahoma,45,2012-09-08,2,,Florida A&M,175,W,23,33,69.7,313,2,41,349,8.5,8,74,662,8.9,10,69,56
Oklahoma St.,46,2012-09-08,2,@,Arizona,95,L,37,60,61.7,436,4,32,200,6.3,1,92,636,6.9,5,38,-21
Ole Miss,116,2012-09-08,2,,UTEP,62,W,18,25,72.0,208,3,44,330,7.5,1,69,538,7.8,4,28,18
Oregon,99,2012-09-08,2,,Fresno St.,86,W,19,27,70.4,166,1,58,366,6.3,5,85,532,6.3,6,42,17
Oregon St.,100,2012-09-08,1,,Wisconsin,40,W,29,47,61.7,276,1,30,78,2.6,0,77,354,4.6,1,10,3
Penn State,37,2012-09-08,2,@,Virginia,24,L,21,43,48.8,209,2,42,121,2.9,0,85,330,3.9,2,16,-1
Purdue,38,2012-09-08,2,@,Notre Dame,70,L,19,37,51.4,198,2,30,90,3.0,0,67,288,4.3,2,17,-3
Rice,59,2012-09-08,2,@,Kansas,43,W,23,35,65.7,236,0,41,167,4.1,2,76,403,5.3,2,25,1
Rutgers,39,2012-09-08,2,,Howard,176,W,15,27,55.6,130,2,33,191,5.8,1,60,321,5.4,4,26,26
San Diego St.,90,2012-09-08,2,,Army,65,W,14,21,66.7,215,1,42,228,5.4,4,63,443,7.0,6,42,35
San Jose St.,91,2012-09-08,2,,UC Davis,142,W,24,34,70.6,287,2,42,216,5.1,4,76,503,6.6,6,45,32
SMU,8,2012-09-08,2,,Stephen F. Austin,246,W,21,41,51.2,256,1,29,72,2.5,2,70,328,4.7,7,52,52
South Alabama,127,2012-09-08,2,,Nicholls State,242,W,17,30,56.7,169,0,45,110,2.4,0,75,279,3.7,0,9,6
South Carolina,117,2012-09-08,2,,East Carolina,4,W,23,40,57.5,397,5,34,131,3.9,1,74,528,7.1,7,48,38
South Florida,9,2012-09-08,2,@,Nevada,88,W,22,40,55.0,363,3,35,209,6.0,2,75,572,7.6,5,32,1
Stanford,101,2012-09-08,2,,Duke,15,W,18,33,54.5,281,3,26,92,3.5,1,59,373,6.3,6,50,37
Syracuse,23,2012-09-08,2,,USC,103,L,30,46,65.2,322,2,41,133,3.2,2,87,455,5.2,4,29,-13
Temple,10,2012-09-08,2,,Maryland,30,L,7,18,38.9,178,2,39,52,1.3,1,57,230,4.0,3,27,-9
Tennessee,118,2012-09-08,2,,Georgia St.,125,W,22,28,78.6,374,4,43,184,4.3,3,71,558,7.9,7,51,38
Texas,48,2012-09-08,2,,New Mexico,89,W,21,30,70.0,285,3,31,146,4.7,3,61,431,7.1,6,45,45
Texas A&M,119,2012-09-08,1,,Florida,110,L,24,31,77.4,200,0,38,134,3.5,2,69,334,4.8,2,17,-3
TCU,47,2012-09-08,1,,Grambling,251,W,17,17,100.0,276,4,40,255,6.4,2,57,531,9.3,8,56,56
