School,Team Code,Date,G,Loc,Opponent,Team Code opp,WL,Points For,Points Against,Points Difference,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Turnovers,Total TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp,Total TD opp
Iowa,29,2001-09-01,1,,Kent State,77,W,51,0,51,15,22,68.2,236,0,0,49,331,6.8,6,1,1,6,13,32,40.6,90,0,30,113,3.8,0,1,1,2,0
Kansas,43,2001-09-01,1,,Missouri State,184,W,24,10,14,19,29,65.5,231,1,2,37,102,2.8,1,2,4,3,15,32,46.9,185,0,44,58,1.3,1,1,1,2,1
Kent State,77,2001-09-01,1,@,Iowa,29,L,0,51,-51,13,32,40.6,90,0,1,30,113,3.8,0,1,2,0,15,22,68.2,236,0,49,331,6.8,6,1,0,1,6
Kentucky,112,2001-09-01,1,,Louisville,18,L,10,36,-26,15,37,40.5,155,0,2,28,58,2.1,0,2,4,1,21,34,61.8,368,3,35,118,3.4,2,1,0,1,5
Louisiana,126,2001-09-01,1,,Nicholls State,242,W,20,0,20,12,27,44.4,179,0,0,43,110,2.6,2,3,3,2,0,11,0.0,0,0,34,57,1.7,0,2,0,2,0
Louisiana Tech,54,2001-09-01,1,,SMU,8,W,36,6,30,22,35,62.9,189,0,1,24,56,2.3,2,0,1,4,25,54,46.3,216,0,32,70,2.2,0,2,1,3,0
UL Monroe,130,2001-09-01,1,,Sam Houston State,244,L,9,20,-11,18,36,50.0,186,0,0,30,60,2.0,1,2,2,1,17,31,54.8,188,1,33,77,2.3,1,0,0,0,3
Louisville,18,2001-09-01,2,@,Kentucky,112,W,36,10,26,21,34,61.8,368,3,0,35,118,3.4,2,1,1,5,15,37,40.5,155,0,28,58,2.1,0,2,2,4,1
LSU,113,2001-09-01,1,,Tulane,11,W,48,17,31,21,31,67.7,262,2,0,50,232,4.6,4,2,2,6,25,47,53.2,343,2,26,48,1.8,0,2,1,3,2
Marshall,55,2001-09-01,1,@,Florida,110,L,14,49,-35,27,43,62.8,274,1,0,26,66,2.5,1,1,1,2,25,38,65.8,430,4,28,111,4.0,3,0,1,1,7
Maryland,30,2001-09-01,1,,North Carolina,21,W,23,7,16,10,26,38.5,86,2,0,46,161,3.5,1,0,0,3,16,26,61.5,158,0,37,118,3.2,1,0,3,3,1
Miami (FL),19,2001-09-01,1,@,Penn State,37,W,33,7,26,20,27,74.1,344,3,1,44,258,5.9,0,1,2,3,13,31,41.9,241,1,33,82,2.5,0,1,2,3,1
Miami (OH),78,2001-09-01,1,@,Michigan,31,L,13,31,-18,22,44,50.0,223,2,3,29,127,4.4,0,0,3,2,20,34,58.8,214,1,47,189,4.0,3,1,0,1,4
Michigan,31,2001-09-01,1,,Miami (OH),78,W,31,13,18,20,34,58.8,214,1,0,47,189,4.0,3,1,1,4,22,44,50.0,223,2,29,127,4.4,0,0,3,3,2
Missouri,115,2001-09-01,1,,Bowling Green,73,L,13,20,-7,18,39,46.2,158,1,2,28,76,2.7,0,1,3,1,15,24,62.5,148,1,45,194,4.3,2,0,1,1,3
Nebraska,34,2001-09-01,2,,Troy,129,W,42,14,28,9,16,56.3,127,0,1,60,330,5.5,5,2,3,6,15,36,41.7,190,1,35,-25,-0.7,1,1,2,3,2
Nevada,88,2001-09-01,1,@,BYU,66,L,7,52,-45,15,28,53.6,127,0,1,36,160,4.4,1,0,1,1,25,40,62.5,389,2,38,209,5.5,5,0,0,0,7
New Mexico,89,2001-09-01,1,,UTEP,62,W,26,6,20,6,30,20.0,52,0,2,46,271,5.9,2,0,2,2,19,32,59.4,223,1,27,-53,-2.0,0,3,2,5,1
New Mexico State,69,2001-09-01,2,@,Texas,48,L,7,41,-34,8,16,50.0,63,0,0,34,169,5.0,1,2,2,1,21,38,55.3,228,2,45,171,3.8,2,0,0,0,5
North Carolina,21,2001-09-01,2,@,Maryland,30,L,7,23,-16,16,26,61.5,158,0,3,37,118,3.2,1,0,3,1,10,26,38.5,86,2,46,161,3.5,1,0,0,0,3
North Texas,57,2001-09-01,1,,TCU,47,L,5,19,-14,3,12,25.0,23,0,0,34,106,3.1,0,1,1,0,10,16,62.5,92,1,46,106,2.3,0,1,1,2,1
Oklahoma,45,2001-09-01,2,@,Air Force,83,W,44,3,41,14,31,45.2,161,2,1,35,237,6.8,2,2,3,5,11,28,39.3,112,0,53,137,2.6,0,2,2,4,0
Oklahoma St.,46,2001-09-01,1,@,Southern Miss,60,L,9,17,-8,26,38,68.4,294,0,0,26,45,1.7,0,4,4,0,22,36,61.1,277,1,40,57,1.4,1,0,0,0,2
Ole Miss,116,2001-09-01,1,,Murray State,205,W,49,14,35,23,31,74.2,303,5,0,41,196,4.8,1,1,1,7,14,30,46.7,126,0,30,126,4.2,2,0,2,2,2
Oregon,99,2001-09-01,1,,Wisconsin,40,W,31,28,3,23,49,46.9,279,3,2,34,135,4.0,1,0,2,4,16,32,50.0,231,2,32,157,4.9,2,1,1,2,4
Penn State,37,2001-09-01,1,,Miami (FL),19,L,7,33,-26,13,31,41.9,241,1,2,33,82,2.5,0,1,3,1,20,27,74.1,344,3,44,258,5.9,0,1,1,2,3
Pittsburgh,22,2001-09-01,1,,East Tennessee St.,229,W,31,0,31,19,28,67.9,185,1,0,35,229,6.5,3,0,0,4,8,18,44.4,101,0,49,79,1.6,0,1,1,2,0
Rice,59,2001-09-01,1,@,Houston,5,W,21,14,7,6,12,50.0,42,1,0,69,354,5.1,2,0,0,3,22,47,46.8,192,2,21,7,0.3,0,0,1,1,2
San Jose St.,91,2001-09-01,1,@,USC,103,L,10,21,-11,20,37,54.1,213,0,2,30,115,3.8,1,1,3,1,21,28,75.0,213,0,33,165,5.0,3,0,1,1,3
SMU,8,2001-09-01,1,@,Louisiana Tech,54,L,6,36,-30,25,54,46.3,216,0,1,32,70,2.2,0,2,3,0,22,35,62.9,189,0,24,56,2.3,2,0,1,1,4
South Carolina,117,2001-09-01,1,,Boise St.,84,W,32,13,19,18,26,69.2,220,1,0,41,172,4.2,2,1,1,4,18,32,56.3,162,1,26,91,3.5,1,0,1,1,2
Southern Miss,60,2001-09-01,1,,Oklahoma St.,46,W,17,9,8,22,36,61.1,277,1,0,40,57,1.4,1,0,0,2,26,38,68.4,294,0,26,45,1.7,0,4,0,4,0
Syracuse,23,2001-09-01,2,@,Tennessee,118,L,9,33,-24,6,21,28.6,115,1,1,42,75,1.8,0,2,3,1,14,27,51.9,136,1,39,197,5.1,3,2,1,3,4
Tennessee,118,2001-09-01,1,,Syracuse,23,W,33,9,24,14,27,51.9,136,1,1,39,197,5.1,3,2,3,4,6,21,28.6,115,1,42,75,1.8,0,2,1,3,1
Texas,48,2001-09-01,1,,New Mexico State,69,W,41,7,34,21,38,55.3,228,2,0,45,171,3.8,2,0,0,5,8,16,50.0,63,0,34,169,5.0,1,2,0,2,1
Texas A&M,119,2001-09-01,1,,McNeese State,241,W,38,24,14,24,40,60.0,254,1,1,35,120,3.4,3,1,2,5,13,30,43.3,138,1,35,103,2.9,0,0,3,3,3
TCU,47,2001-09-01,2,@,North Texas,57,W,19,5,14,10,16,62.5,92,1,1,46,106,2.3,0,1,2,1,3,12,25.0,23,0,34,106,3.1,0,1,0,1,0
Troy,129,2001-09-01,1,@,Nebraska,34,L,14,42,-28,15,36,41.7,190,1,2,35,-25,-0.7,1,1,3,2,9,16,56.3,127,0,60,330,5.5,5,2,1,3,6
Tulane,11,2001-09-01,2,@,LSU,113,L,17,48,-31,25,47,53.2,343,2,1,26,48,1.8,0,2,3,2,21,31,67.7,262,2,50,232,4.6,4,2,0,2,6
Central Florida,1,2001-09-01,1,@,Clemson,14,L,13,21,-8,29,47,61.7,297,0,0,22,35,1.6,2,1,1,2,15,25,60.0,154,1,42,138,3.3,2,2,0,2,3
UCLA,102,2001-09-01,1,@,Alabama,107,W,20,17,3,8,22,36.4,123,1,0,38,168,4.4,1,0,0,2,15,25,60.0,299,2,46,159,3.5,0,1,1,2,2
USC,103,2001-09-01,1,,San Jose St.,91,W,21,10,11,21,28,75.0,213,0,1,33,165,5.0,3,0,1,3,20,37,54.1,213,0,30,115,3.8,1,1,2,3,1
Utah,104,2001-09-01,1,,Utah St.,93,W,23,19,4,16,33,48.5,147,0,0,46,213,4.6,2,1,1,2,23,43,53.5,231,1,21,70,3.3,0,2,3,5,2
Utah St.,93,2001-09-01,1,@,Utah,104,L,19,23,-4,23,43,53.5,231,1,3,21,70,3.3,0,2,5,2,16,33,48.5,147,0,46,213,4.6,2,1,0,1,2
UTEP,62,2001-09-01,1,@,New Mexico,89,L,6,26,-20,19,32,59.4,223,1,2,27,-53,-2.0,0,3,5,1,6,30,20.0,52,0,46,271,5.9,2,0,2,2,2
Virginia,24,2001-09-01,2,,Richmond,159,W,17,16,1,26,37,70.3,242,2,1,43,110,2.6,0,1,2,2,9,19,47.4,129,0,39,197,5.1,2,1,1,2,2
Virginia Tech,25,2001-09-01,1,,Connecticut,3,W,52,10,42,21,30,70.0,323,3,0,46,283,6.2,4,0,0,7,10,29,34.5,110,0,27,74,2.7,1,0,1,1,1
Wake Forest,26,2001-09-01,1,@,East Carolina,4,W,21,19,2,9,16,56.3,161,1,0,69,290,4.2,1,1,1,2,18,35,51.4,231,1,25,63,2.5,2,1,2,3,3
West Virginia,50,2001-09-01,1,@,Boston College,13,L,10,34,-24,22,40,55.0,240,0,3,40,76,1.9,1,2,5,1,11,26,42.3,146,1,50,325,6.5,3,1,1,2,4
Wisconsin,40,2001-09-01,2,@,Oregon,99,L,28,31,-3,16,32,50.0,231,2,1,32,157,4.9,2,1,2,4,23,49,46.9,279,3,34,135,4.0,1,0,2,2,4
Wyoming,94,2001-09-01,1,,Furman,230,W,20,14,6,30,48,62.5,331,0,0,39,91,2.3,1,0,0,1,12,25,48.0,169,0,33,180,5.5,2,1,1,2,2
Cincinnati,2,2001-09-02,1,,Purdue,38,L,14,19,-5,21,36,58.3,220,2,3,35,87,2.5,0,0,3,2,14,25,56.0,117,0,38,153,4.0,2,1,0,1,2
Fresno St.,86,2001-09-02,2,,Oregon St.,100,W,44,24,20,21,34,61.8,340,4,0,34,122,3.6,1,0,0,5,21,36,58.3,296,2,30,27,0.9,1,0,1,1,3
Oregon St.,100,2001-09-02,1,@,Fresno St.,86,L,24,44,-20,21,36,58.3,296,2,1,30,27,0.9,1,0,1,3,21,34,61.8,340,4,34,122,3.6,1,0,0,0,5
Purdue,38,2001-09-02,1,@,Cincinnati,2,W,19,14,5,14,25,56.0,117,0,0,38,153,4.0,2,1,1,2,21,36,58.3,220,2,35,87,2.5,0,0,3,3,2
Memphis,6,2001-09-03,1,@,Mississippi St.,114,L,10,30,-20,10,17,58.8,76,1,0,46,86,1.9,0,2,2,1,12,22,54.5,174,2,41,179,4.4,1,3,1,4,4
Mississippi St.,114,2001-09-03,1,,Memphis,6,W,30,10,20,12,22,54.5,174,2,1,41,179,4.4,1,3,4,4,10,17,58.8,76,1,46,86,1.9,0,2,0,2,1
Indiana,28,2001-09-06,1,@,NC State,20,L,14,35,-21,19,33,57.6,170,1,0,34,106,3.1,1,2,2,2,22,34,64.7,243,3,35,118,3.4,1,0,0,0,5
NC State,20,2001-09-06,1,,Indiana,28,W,35,14,21,22,34,64.7,243,3,0,35,118,3.4,1,0,0,5,19,33,57.6,170,1,34,106,3.1,1,2,0,2,2
Texas A&M,119,2001-09-06,2,@,Wyoming,94,W,28,20,8,30,42,71.4,341,1,1,42,166,4.0,3,0,1,4,11,26,42.3,171,1,32,102,3.2,1,0,2,2,2
Wyoming,94,2001-09-06,2,,Texas A&M,119,L,20,28,-8,11,26,42.3,171,1,2,32,102,3.2,1,0,2,2,30,42,71.4,341,1,42,166,4.0,3,0,1,1,4
Northwestern,35,2001-09-07,1,@,UNLV,92,W,37,28,9,24,49,49.0,224,2,0,49,187,3.8,3,1,1,5,18,39,46.2,304,2,41,149,3.6,2,1,1,2,4
UNLV,92,2001-09-07,2,,Northwestern,35,L,28,37,-9,18,39,46.2,304,2,1,41,149,3.6,2,1,2,4,24,49,49.0,224,2,49,187,3.8,3,1,0,1,5
Air Force,83,2001-09-08,2,,Tennessee Tech,208,W,42,0,42,12,17,70.6,167,2,0,48,212,4.4,4,1,1,6,15,27,55.6,206,0,35,62,1.8,0,0,1,1,0
Akron,71,2001-09-08,2,@,Ohio St.,36,L,14,28,-14,15,32,46.9,134,1,0,33,114,3.5,0,1,1,2,17,29,58.6,289,2,56,236,4.2,2,2,1,3,4
Alabama,107,2001-09-08,2,@,Vanderbilt,120,W,12,9,3,10,17,58.8,128,0,0,43,229,5.3,0,0,0,0,17,35,48.6,253,0,35,143,4.1,0,1,0,1,0
Arizona,95,2001-09-08,2,,Idaho,133,W,36,29,7,21,35,60.0,310,2,0,36,181,5.0,3,1,1,5,30,49,61.2,366,4,37,113,3.1,0,1,1,2,4
Arizona St.,96,2001-09-08,1,,San Diego St.,90,W,38,7,31,27,36,75.0,271,4,0,39,154,3.9,0,1,1,5,10,29,34.5,102,0,35,88,2.5,1,1,1,2,1
Arkansas,108,2001-09-08,2,,Tennessee,118,L,3,13,-10,8,16,50.0,73,0,2,26,19,0.7,0,0,2,0,13,17,76.5,136,0,55,183,3.3,1,1,0,1,1
Arkansas St.,122,2001-09-08,2,@,Baylor,41,L,3,24,-21,12,29,41.4,106,0,1,40,66,1.7,0,4,5,0,14,31,45.2,192,1,45,175,3.9,1,1,1,2,3
Army,65,2001-09-08,1,,Cincinnati,2,L,21,24,-3,19,30,63.3,203,1,1,31,160,5.2,2,3,4,3,32,44,72.7,333,3,43,138,3.2,0,1,0,1,3
Auburn,109,2001-09-08,2,,Ole Miss,116,W,27,21,6,15,19,78.9,142,0,1,52,194,3.7,3,1,2,3,24,39,61.5,265,1,23,50,2.2,2,3,1,4,3
Ball St.,72,2001-09-08,2,@,Kentucky,112,L,20,28,-8,19,35,54.3,170,2,0,51,257,5.0,0,0,0,2,15,22,68.2,215,2,28,146,5.2,2,1,0,1,4
Baylor,41,2001-09-08,1,,Arkansas St.,122,W,24,3,21,14,31,45.2,192,1,1,45,175,3.9,1,1,2,3,12,29,41.4,106,0,40,66,1.7,0,4,1,5,0
Boise St.,84,2001-09-08,2,,Washington St.,106,L,20,41,-21,18,38,47.4,316,3,3,31,54,1.7,0,0,3,3,24,35,68.6,380,4,39,110,2.8,1,1,0,1,6
Boston College,13,2001-09-08,2,@,Stanford,101,L,22,38,-16,17,41,41.5,202,3,2,36,130,3.6,0,0,2,3,15,30,50.0,232,4,43,160,3.7,1,1,0,1,5
Bowling Green,73,2001-09-08,2,,Buffalo,74,W,35,0,35,15,26,57.7,133,1,0,50,184,3.7,4,0,0,5,16,38,42.1,162,0,24,43,1.8,0,1,2,3,0
BYU,66,2001-09-08,3,@,California,97,W,44,16,28,19,28,67.9,295,3,0,35,193,5.5,3,0,0,6,23,38,60.5,291,2,36,120,3.3,0,2,1,3,2
Buffalo,74,2001-09-08,2,@,Bowling Green,73,L,0,35,-35,16,38,42.1,162,0,2,24,43,1.8,0,1,3,0,15,26,57.7,133,1,50,184,3.7,4,0,0,0,5
California,97,2001-09-08,2,,BYU,66,L,16,44,-28,23,38,60.5,291,2,1,36,120,3.3,0,2,3,2,19,28,67.9,295,3,35,193,5.5,3,0,0,0,6
Central Michigan,75,2001-09-08,2,@,Michigan St.,32,L,21,35,-14,18,36,50.0,122,1,2,40,165,4.1,0,1,3,3,18,29,62.1,290,3,49,196,4.0,2,2,1,3,5
Cincinnati,2,2001-09-08,2,@,Army,65,W,24,21,3,32,44,72.7,333,3,0,43,138,3.2,0,1,1,3,19,30,63.3,203,1,31,160,5.2,2,3,1,4,3
Clemson,14,2001-09-08,2,,Wofford,235,W,38,14,24,26,37,70.3,283,2,2,41,200,4.9,2,1,3,5,6,16,37.5,36,1,56,276,4.9,1,2,0,2,2
Colorado,98,2001-09-08,3,,San Jose St.,91,W,51,15,36,19,31,61.3,297,2,0,55,263,4.8,4,0,0,7,22,41,53.7,180,1,27,125,4.6,1,0,2,2,2
