Team (Record),Rating,Offense,Defense,Special Teams
119. Kent St. (3-5),-17.7,19.5 (109),37.4 (113),0.2 (31)
120. New Mexico (2-6),-19.6,20.5 (104),40.4 (125),0.4 (12)
121. NMSU (0-8),-22.4,17.4 (117),39.7 (122),0.0 (68)
122. UConn (2-6),-22.5,15.5 (123),37.7 (118),-0.3 (112)
123. Rice (0-8),-23.3,12.3 (127),35.5 (107),-0.1 (79)
124. ODU (1-7),-23.4,10.0 (129),33.4 (97),0.0 (60)
125. S. Alabama (1-7),-23.9,10.2 (128),33.7 (99),-0.4 (125)
126. UTSA (3-4),-24.3,16.6 (120),40.6 (126),-0.4 (121)
127. BGSU (2-6),-26.8,14.5 (125),40.8 (127),-0.5 (130)
128. Akron (0-8),-28,7.7 (130),35.3 (105),-0.5 (126)
129. UTEP (1-6),-29.4,15.5 (124),44.8 (129),0.0 (72)
130. UMass (1-7),-31.7,18.7 (111),50.4 (130),0.0 (67)
