birthday,career_record,coachID,coach_name,head_shot,school_name,school_record,team_abbr
,109-43,83,Bobby Petrino,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bobby_petrino_s.jpg,Louisville,26-13,LOU
,3-9,2709,Lovie Smith,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lovie_smith_s.jpg,Illinois,3-9,ILL
,2-22,233,David Beaty,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_beaty_s.jpg,Kansas,2-22,KU
1965-05-08,77-42,74,Ken Niumatalolo,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/ken_niumatalolo_s.jpg,Navy,77-42,NAVY
1976-07-30,36-27,509,Justin Fuente,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/justin_fuente_s.jpg,Virginia Tech,10-4,VT
1965-10-09,78-17,483,Jimbo Fisher,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jimbo_fisher_s.jpg,Florida State,78-17,FSU
,8-5,885,Mike Norvell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_norvell_s.jpg,Memphis,8-5,MEM
,17-10,2195,Bill Clark,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bill_clark_s.jpg,UAB,6-6,UAB
,28-23,977,Matt Rhule,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_rhule_s.jpg,Baylor,0-0,BAY
,28-25,1192,Matt Wells,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_wells_s.jpg,Utah State,28-25,USU
1964-12-05,88-55,41,Todd Graham,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/todd_graham_s.jpg,Arizona State,39-26,AZST
,16-10,867,Pat Narduzzi,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pat_narduzzi_s.jpg,Pittsburgh,16-10,PITT
1962-09-10,74-44,35,Larry Fedora,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/larry_fedora_s.jpg,North Carolina,40-25,UNC
,39-91,67,Doug Martin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/doug_martin_s.jpg,New Mexico State,10-38,NMSU
,0-0,368,Geoff Collins,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/geoff_collins_s.jpg,Temple,0-0,TEM
,85-33,1424,Chuck Martin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chuck_martin_s.jpg,Miami (OH),11-26,MUO
,0-0,1201,Justin Wilcox,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/justin_wilcox_s.jpg,California,0-0,CAL
1971-12-03,48-30,435,Dave Doeren,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dave_doeren_s.jpg,North Carolina State,25-26,NCST
1957-08-20,177-87,53,Paul Johnson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_johnson_s.jpg,Georgia Tech,70-48,GT
1961-11-19,41-24,1890,Jim Mora,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jim_mora_s.jpg,UCLA,41-24,UCLA
1961-11-02,82-57,109,Jeff Tedford,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_tedford_s.jpg,Fresno State,0-0,FRES
1959-11-21,104-50,118,Kyle Whittingham,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kyle_whittingham_s.jpg,Utah,104-50,UTAH
1955-08-01,147-113,36,Kirk Ferentz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kirk_ferentz_s.jpg,Iowa,135-92,IOWA
,30-10,278,Jeff Brohm,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jeff_brohm_s.jpg,Purdue,0-0,PUR
,5-7,1115,Tyson Summers,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/tyson_summers_s.jpg,Georgia Southern,5-7,GASO
,0-0,197,Major Applewhite,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/major_applewhite_s.jpg,Houston,0-0,HOU
,149-73,2419,Chris Creighton,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_creighton_s.jpg,Eastern Michigan,10-27,EMU
,10-4,326,Jason Candle,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jason_candle_s.jpg,Toledo,10-4,TOL
1939-10-07,202-105-1,98,Bill Snyder,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/bill_snyder_s.jpg,Kansas State,68-37,KSU
,157-77,2420,Willie Fritz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/willie_fritz_s.jpg,Tulane,4-8,TULN
,0-0,981,Lincoln Riley,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lincoln_riley_s.jpg,Oklahoma,0-0,OU
,8-5,1068,Kirby Smart,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/kirby_smart_s.jpg,Georgia,8-5,UGA
,0-0,270,Brent Brennan,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/brent_brennan_s.jpg,San Jose State,0-0,SJSU
,51-15,3009,Joe Moglia,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/joe_moglia_s.jpg,Coastal Carolina,51-15,
1964-03-12,119-93,50,Skip Holtz,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/skip_holtz_s.jpg,Louisiana Tech,31-22,LT
,18-31,2265,Sean Kugler,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/sean_kugler_s.jpg,UTEP,18-31,UTEP
,27-23,1225,Everett Withers,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/everett_withers_s.jpg,Texas State,2-10,TXST
1960-02-13,149-54,80,Gary Patterson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/gary_patterson_s.jpg,TCU,149-54,TCU
,22-29,159,Ed Orgeron,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/ed_orgeron_s.jpg,LSU,6-2,LSU
1969-11-20,89-28,108,Dabo Swinney,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dabo_swinney_s.jpg,Clemson,89-28,CLEM
1953-07-06,108-91,88,Mike Riley,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_riley_s.jpg,Nebraska,15-11,NEB
1962-03-01,41-24,801,Jim McElwain,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jim_mcelwain_s.jpg,Florida,19-8,FLA
1979-11-29,38-24,323,Matt Campbell,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_campbell_s.jpg,Iowa State,3-9,ISU
1972-04-27,61-42,72,Dan Mullen,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dan_mullen_s.jpg,Mississippi State,61-42,MSST
,16-10,842,Philip Montgomery,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/phillip_montgomery_s.jpg,Tulsa,16-10,TLSA
,3-9,843,Scottie Montgomery,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/scottie_montgomery_s.jpg,East Carolina,3-9,ECU
1972-02-02,49-30,499,James Franklin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/james_franklin_s.jpg,Penn State,25-15,PSU
1950-01-27,119-95,151,Rocky Long,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rocky_long_s.jpg,San Diego State,54-26,SDSU
1960-08-02,53-37,1109,Charlie Strong,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/charlie_strong_s.jpg,South Florida,0-0,USF
1968-01-17,80-48,54,Butch Jones,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/butch_jones_s.jpg,Tennessee,30-21,TENN
,6-7,1218,Frank Wilson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/frank_wilson_s.jpg,UTSA,6-7,UTSA
,36-19,1498,Rod Carey,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/rod_carey_s.jpg,Northern Illinois,36-19,NIU
,41-24,207,Dino Babers,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/dino_babers_s.jpg,Syracuse,4-8,SYR
1957-04-21,53-37,618,Doc Holliday,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/doc_holliday_s.jpg,Marshall,53-37,MRSH
1961-03-09,113-77,61,Mike Leach,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_leach_s.jpg,Washington State,29-34,WSU
1974-12-02,77-62,37,Pat Fitzgerald,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/pat_fitzgerald_s.jpg,Northwestern,77-62,NW
,116-23,2574,Lance Leipold,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lance_leipold_s.jpg,Buffalo,7-17,BUFF
,7-7,992,Nick Rolovich,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/nick_rolovich_s.jpg,Hawaii,7-7,HAW
,14-12,252,Mike Bobo,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_bobo_s.jpg,Colorado State,14-12,CSU
1975-05-09,35-21,58,Lane Kiffin,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/lane_kiffin_s.jpg,Florida Atlantic,0-0,FAU
,4-8,2128,Mike Neu,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/mike_neu_s.jpg,Ball State,4-8,BALL
,2-10,201,Chris Ash,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/chris_ash_s.jpg,Rutgers,2-10,RUTG
,13-13,2573,John Bonamego,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/john_bonamego_s.jpg,Central Michigan,13-13,CMU
,0-0,755,Matt Luke,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/matt_luke_s.jpg,Ole Miss,0-0,MISS
1965-10-28,44-21,773,Gus Malzahn,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/gus_malzahn_s.jpg,Auburn,35-18,AUB
,39-23,623,Jay Hopson,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/jay_hopson_s.jpg,Southern Miss,7-6,USM
1954-09-16,96-90,24,David Cutcliffe,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_cutcliffe_s.jpg,Duke,52-61,DUKE
1958-05-26,77-84,4,David Bailiff,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/david_bailiff_s.jpg,Rice,56-69,RICE
,63-43,26,Butch Davis,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/butch_davis_s.jpg,Florida International,0-0,FIU
,12-35,579,Paul Haynes,http://www.gannett-cdn.com/media/SMG/sports_headshots/ncaaf/coach/paul_haynes_s.jpg,Kent State,12-35,KENT
